name_english,name_indonesian,sex,total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 110
Banten,Banten,female,5834291,509014,510429,485428,489235,510711,509196,508073,480135,446577,389864,319612,252441,179087,122137,60347,35574,17779,6726,1676,250
Bengkulu,Bengkulu,female,981533,85749,85024,83233,83307,85223,83882,82281,77496,72145,63594,53301,43173,32312,23027,13795,8198,3992,1428,328,45
Special Region of Yogyakarta,Daerah Istimewa Yogyakarta,female,1850792,118349,121970,125028,128154,132104,133413,133512,133719,135968,131655,127382,114172,97550,77791,59096,41153,24548,11206,3394,628
Special Capital Region of Jakarta,Daerah Khusus Ibukota Jakarta,female,5227307,392067,397375,401879,410033,420804,428806,444229,434544,423802,382282,326412,266911,200263,142433,72738,45320,24254,9973,2729,453
Gorontalo,Gorontalo,female,580332,47217,45755,51281,51985,52236,50108,46522,43520,41191,36996,32298,26653,20139,14564,9826,5883,2876,1020,232,30
Indonesia,Indonesia,female,133542018,10778786,10799048,10746111,10816894,11050132,10945191,10795496,10354273,9928479,8996940,7873992,6574527,5117776,3772554,2374851,1440697,770110,310612,82392,13157
Jambi,Jambi,female,1738213,153539,152701,147685,147283,149910,148278,147377,139414,130356,114372,94285,75568,55861,39129,20921,12449,6180,2281,546,78
West Java,Jawa Barat,female,23765277,1910514,1882904,1954415,1975844,2005005,1985416,1962811,1880004,1800551,1619243,1395453,1148008,869440,627519,382733,205906,106211,41220,10487,1593
Central Java,Jawa Tengah,female,18153892,1314514,1323095,1350605,1373465,1407219,1410790,1409788,1382688,1363713,1278932,1184283,1024609,835196,632535,409048,243073,134930,56908,15840,2661
East Java,Jawa Timur,female,20374104,1373518,1434146,1434785,1469867,1521923,1544739,1564312,1558255,1571149,1487121,1384373,1201876,979252,748026,495830,325649,180126,75168,20598,3391
West Kalimantan,Kalimantan Barat,female,2630277,230402,226995,229670,230249,233787,228342,221744,206612,189210,165245,136737,110876,84525,61342,35493,21971,11391,4408,1112,166
South Kalimantan,Kalimantan Selatan,female,2011201,180247,190550,163785,160686,164980,164063,163853,157409,151314,135178,114393,92670,68161,48284,27288,16357,8153,3009,720,101
Central Kalimantan,Kalimantan Tengah,female,1284264,107599,108236,113443,114939,116591,114506,112349,104874,96343,82965,66243,51770,36702,25129,16255,9501,4654,1701,407,57
East Kalimantan,Kalimantan Timur,female,1804405,153666,153701,158824,159284,158922,156594,155799,147050,137287,119419,96850,75728,52827,35088,22053,12559,6012,2162,509,71
North Kalimantan,Kalimantan Utara,female,331164,28612,27869,30967,31167,30729,29781,28906,26735,24308,20745,16342,12629,8780,5958,3823,2221,1082,400,96,14
Bangka Belitung Islands,Kepulauan Bangka Belitung,female,706130,58424,57330,60929,61321,60998,60363,60725,57276,52835,46167,37816,30687,23807,17178,10437,5559,2858,1102,276,42
Riau Islands,Kepulauan Riau,female,1011268,92888,93094,84260,84284,87978,89436,93362,88370,81291,68327,50465,37433,24553,16005,9924,5618,2710,994,241,35
Lampung,Lampung,female,4391043,378694,380532,356041,355348,366778,364378,362015,344867,325716,290418,247065,202663,154104,112414,70543,44170,23297,9233,2396,371
Maluku,Maluku,female,912445,77805,74848,86166,87085,86584,81907,74884,67934,60901,53060,44649,36693,28751,21171,14569,8906,4466,1634,380,52
North Maluku,Maluku Utara,female,625526,59183,57304,58751,58526,59109,56427,52523,47797,42873,36699,29502,23401,17382,12259,7359,3818,1821,633,141,18
West Nusa Tenggara,Nusa Tenggara Barat,female,2663884,247737,252893,218544,214672,222193,221505,222941,211397,196999,172766,142074,114588,85953,62357,37996,22883,11288,4049,925,124
East Nusa Tenggara,Nusa Tenggara Timur,female,2661795,272184,261420,239494,232947,238432,225321,203716,185721,169030,149584,129269,108086,85978,64904,45717,28560,14585,5401,1271,175
Papua,Papua,female,2008894,200764,200589,154915,157463,184725,187429,186094,172407,153869,129353,99486,74283,47882,29414,16852,8548,3537,1060,202,22
